"Package","Install date"
"abrt:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:30 AM CDT"
"abrt-addon-ccpp:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:31 AM CDT"
"abrt-addon-kerneloops:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:31 AM CDT"
"abrt-addon-python:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:30 AM CDT"
"abrt-cli:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:51:58 AM CDT"
"abrt-libs:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:30 AM CDT"
"abrt-tui:2.0.8:21.el6.centos:x86_64","Wed 01 Oct 2014 10:49:31 AM CDT"
"acl:2.2.49:6.el6:x86_64","Mon 09 Jan 2012 09:04:26 AM CST"
"acpid:1.0.10:2.1.el6:x86_64","Fri 06 Jan 2012 02:58:32 PM CST"
"aic94xx-firmware:30:2.el6:noarch","Fri 06 Jan 2012 02:58:32 PM CST"
"alsa-lib:1.0.22:3.el6:x86_64","Mon 09 Jan 2012 09:04:17 AM CST"
"alsa-utils:1.0.22:5.el6:x86_64","Wed 01 Oct 2014 10:52:23 AM CDT"
"ant:1.7.1:13.el6:x86_64","Fri 13 Jan 2012 02:07:45 PM CST"
"apr:1.3.9:5.el6_2:x86_64","Wed 01 Oct 2014 10:48:51 AM CDT"
"apr-devel:1.3.9:5.el6_2:x86_64","Wed 01 Oct 2014 10:52:11 AM CDT"
"apr-util:1.3.9:3.el6_0.1:x86_64","Fri 27 Jan 2012 11:54:17 AM CST"
"apr-util-devel:1.3.9:3.el6_0.1:x86_64","Tue 15 May 2012 09:33:28 AM CDT"
"apr-util-ldap:1.3.9:3.el6_0.1:x86_64","Fri 27 Jan 2012 01:39:52 PM CST"
"at:3.1.10:43.el6_2.1:x86_64","Wed 01 Oct 2014 10:49:16 AM CDT"
"atk:1.30.0:1.el6:x86_64","Wed 01 Oct 2014 10:49:28 AM CDT"
"atlas:3.8.4:2.el6:x86_64","Wed 01 Oct 2014 10:49:03 AM CDT"
"atmel-firmware:1.3:7.el6:noarch","Fri 06 Jan 2012 02:58:53 PM CST"
"attr:2.4.44:7.el6:x86_64","Mon 09 Jan 2012 09:06:12 AM CST"
"audit:2.4.5:6.el6:x86_64","Wed 22 Jan 2020 12:26:18 AM CST"
"audit-libs:2.4.5:6.el6:x86_64","Wed 22 Jan 2020 12:26:17 AM CST"
"audit-libs-python:2.4.5:6.el6:x86_64","Wed 22 Jan 2020 12:26:18 AM CST"
"authconfig:6.1.12:13.el6:x86_64","Wed 01 Oct 2014 10:49:09 AM CDT"
"autoconf:2.63:5.1.el6:noarch","Wed 11 Jan 2012 05:58:46 AM CST"
"autofs:5.0.5:89.el6_5.2:x86_64","Wed 01 Oct 2014 10:50:09 AM CDT"
"automake:1.11.1:4.el6:noarch","Wed 01 Oct 2014 10:49:19 AM CDT"
"avahi-libs:0.6.25:12.el6_5.3:x86_64","Wed 01 Oct 2014 10:49:00 AM CDT"
"b43-fwcutter:012:2.2.el6:x86_64","Fri 06 Jan 2012 02:58:53 PM CST"
"b43-openfwwf:5.2:4.el6:noarch","Fri 06 Jan 2012 02:58:32 PM CST"
"basesystem:10.0:4.el6:noarch","Fri 06 Jan 2012 02:56:21 PM CST"
"bash:4.1.2:15.el6_5.2:x86_64","Wed 01 Oct 2014 10:48:18 AM CDT"
"bc:1.06.95:1.el6:x86_64","Fri 06 Jan 2012 02:56:38 PM CST"
"bfa-firmware:3.2.21.1:2.el6:noarch","Wed 01 Oct 2014 10:51:51 AM CDT"
"bind-libs:9.8.2:0.23.rc1.el6_5.1:x86_64","Wed 01 Oct 2014 10:49:15 AM CDT"
"bind-utils:9.8.2:0.23.rc1.el6_5.1:x86_64","Wed 01 Oct 2014 10:49:16 AM CDT"
"binutils:2.20.51.0.2:5.36.el6:x86_64","Wed 01 Oct 2014 10:48:46 AM CDT"
"biosdevname:0.5.0:2.el6:x86_64","Wed 01 Oct 2014 10:51:50 AM CDT"
"blktrace:1.0.1:6.el6:x86_64","Mon 09 Jan 2012 09:04:24 AM CST"
"boost:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:51:58 AM CDT"
"boost-date-time:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:01 AM CDT"
"boost-filesystem:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:48:49 AM CDT"
"boost-graph:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:04 AM CDT"
"boost-iostreams:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:35 AM CDT"
"boost-program-options:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:48:44 AM CDT"
"boost-python:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:12 AM CDT"
"boost-regex:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:01 AM CDT"
"boost-serialization:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:35 AM CDT"
"boost-signals:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:31 AM CDT"
"boost-system:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:48:49 AM CDT"
"boost-test:1.41.0:18.el6:x86_64","Wed 01 Oct 2014 10:49:35 AM CDT"
